0 1,200.43
1 1,208.43
2 1,216.48
3 1,224.59
4 1,232.76
5 1,240.98
6 1,249.25
7 1,257.58
8 1,265.96
9 1,274.40
10 1,282.90
11 1,291.45
12 1,300.06
13 1,308.73
14 1,317.45
15 1,326.24
16 1,335.08
17 1,343.98
18 1,352.94
19 1,361.96
20 1,371.04
21 1,380.18
22 1,389.38
23 1,398.64
24 1,407.96
25 1,417.35
26 1,426.80
27 1,436.31
28 1,445.89
29 1,455.53
30 1,465.23
31 1,475.00
32 1,484.83
33 1,494.73
34 1,504.70
35 1,514.73
36 1,524.83
37 1,534.99
38 1,545.22
39 1,555.53
40 1,565.90
41 1,576.34
42 1,586.84
43 1,597.42
44 1,608.07
45 1,618.79
46 1,629.59
47 1,640.45
48 1,651.39
49 1,662.39
50 1,673.48
51 1,684.63
52 1,695.86
53 1,707.17
54 1,718.55
55 1,730.01
56 1,741.54
57 1,753.15
58 1,764.84
59 1,776.61
